Dc ID,Name (!=deprecated),Type,Script,⇵,⌥,◌,⇆,Aa,Syntax,Aliases,Description
0,Null,Cc,Controls,,,0,BN,,,,
1,At,Po,Symbols,,,0,ON,,,,@. Needed in CDCE prior to main DCE specification for syntactical purposes.
2,Begin separator,!Sy,Semantic,,,0,BN,,,,Begin a DCE separator string.
3,End separator,!Sy,Semantic,,,0,BN,,,,End a DCE separator string.
4,Range,!Sy,Semantic,,,0,BN,,,,The DCE range character. Used to represent ranges in DCE. See the wiki for more information.
5,Record summation,!Sy,Semantic,,,0,BN,,,,Used to denote the union of two records. See the wiki for more information.
6,Begin number,!Sy,Semantic,,,0,BN,,,,Begin a DCE number.
7,End number,!Sy,Semantic,,,0,BN,,,,End a DCE number.
8,Unknown value,!Sy,Semantic,,,0,BN,,,,Substitution character for an unknown value.
9,Gregorian calendar identifier,!Sy,Semantic,,,0,BN,,,,Internal DCE calendar identifier for the Gregorian calendar.
10,Positive,!Sy,Semantic,,,0,BN,,,,Positive value (syntactical representation — This is not the + character)
11,Negative,!Sy,Semantic,,,0,BN,,,,Negative (syntactical representation — This is not the − character)
12,Decimal point,Sm,Mathematics,,<semantic>32,0,ON,,,,
13,Full drop back,!Mi,DCE,,,0,BN,,,,Drop back to the core sheet (no meaning in EDF)
14,Drop back,!Mi,DCE,,,0,BN,,,,Drop back to the enclosing sheet (no meaning in EDF)
15,Begin DCE content,!Mi,DCE,,,0,BN,,E:113,,Begins a DCE region (no meaning in EDF)
16,DCE Version Selectors,!Mi,DCE sheets,,,0,BN,,,,
17,No mapping,!Mi,Noncharacters,,,0,BN,,,,Processing use only (not for interchange)
18,Space,Zs,Punctuation,,,0,WS,,,word separator,"Sometimes used as a visible word separator, e.g. in Anoej"
19,Exclamation,Po,Punctuation,,,0,ON,,,,
20,Double quotation mark,Po,Punctuation,,,0,ON,,,,
21,Number sign,Po,Symbols,,,0,ET,,,"octothorpe, hash, crosshatch",
22,Dollar,Sc,Financial,,,0,ET,,,,
23,Percent,Po,Symbols,,,0,ET,,,,
24,And,Po,Punctuation,,,0,ON,,,,
25,Apostrophe,Po,Punctuation,,,0,ON,,,,
26,Left parenthesis,Ps,Punctuation,,,0,ON,,,left bracket,
27,Right parenthesis,Pe,Punctuation,,,0,ON,,,right bracket,
28,Asterisk,Po,Symbols,,,0,ON,,,star,
29,Plus,Sm,Mathematics,,,0,ES,,,,
30,Comma,Po,Punctuation,,,0,CS,,,,
31,Hyphen,Pd,Punctuation,,,0,ES,,,,
32,Full stop,Po,Punctuation,,,0,CS,,,period,
33,Solidus,Po,Symbols,,,0,CS,,,"virgule, stroke, slash",
