Dc,Unicode,Comments
0,0,"These mappings are for any Dcs that need outbound Unicode mappings. By default, the inbound Unicode mapping is reversed for outbound, but that doesn’t work when there are multiple Dcs mapped onto a single Unicode character."
1,40,
2,,
3,,
4,,
5,,
6,,
7,,
8,,
9,,
10,,
11,,
12,2E,
13,,
14,,
15,,
16,,
17,,
18,20,
19,21,
20,22,
21,23,
22,24,
23,25,
24,26,
25,27,
26,28,
27,29,
28,2A,
29,2B,
30,2C,
31,2010,
32,2E,
33,2F,
34,30,
35,31,
36,32,
37,33,
38,34,
39,35,
40,36,
41,37,
42,38,
43,39,
44,3A,
45,3B,
46,3C,
47,3D,
48,3E,
49,3F,
50,41,
51,42,
52,43,
53,44,
54,45,
55,46,
56,47,
57,48,
58,49,
59,4A,
60,4B,
61,4C,
62,4D,
63,4E,
64,4F,
65,50,
66,51,
67,52,
68,53,
69,54,
70,55,
71,56,
72,57,
73,58,
74,59,
75,5A,
76,5B,
77,5C,
78,5D,
79,5E,
80,5F,
81,60,
82,61,
83,62,
84,63,
85,64,
86,65,
87,66,
88,67,
89,68,
90,69,
91,6A,
92,6B,
93,6C,
94,6D,
95,6E,
96,6F,
97,70,
98,71,
99,72,
100,73,
101,74,
102,75,
103,76,
104,77,
105,78,
106,79,
107,7A,
108,7B,
109,7C,
110,7D,
111,7E,
112,,
113,,
114,,
115,,
116,8,
117,9,
118,B,
119,A,
120,A,
121,D,
122,FE00,
123,FE01,
124,FE02,
125,FE03,
126,FE04,
127,,
128,,
129,,
130,,
131,,
132,,
133,,
134,,
135,,
136,,
137,,
138,,
139,,
140,,
141,,
142,,
143,,
144,,
145,,
146,,
147,,
148,,
149,,
150,,
151,,
152,,
153,,
154,,
155,,
156,,
157,,
158,,
159,,
160,,
161,,
162,,
163,,
164,,
165,,
166,,
167,,
168,,
169,,
170,,
171,,
172,,
173,,
174,,
175,,
176,,
177,,
178,,
179,,
180,,
181,,
182,,
183,,
184,,
185,,
186,,
187,,
188,,
189,,
190,,
191,,
192,,
193,C,
194,,
195,,
196,,
197,,
198,,
199,,
200,,
201,,
202,,
203,,
204,,
205,,
206,FFFD,
207,FFFD,
208,1,
209,2,
210,3,
211,4,
212,5,
213,6,
214,7,
215,E,
216,F,
217,10,
218,11,
219,12,
220,13,
221,14,
222,15,
223,16,
224,17,
225,18,
226,19,
227,1A,
228,1B,
229,1C,
230,1D,
231,1E,
232,1F,
233,2D,
234,7F,
235,,
236,,
237,,
238,,
239,,
240,,
